,host_id,price,room_type,bedrooms,beds,bathrooms,bed_type
707,1266717,99,Entire home/apt,1.0,1.0,1.5,Real Bed
708,1266717,129,Entire home/apt,1.0,1.0,1.0,Real Bed
709,1266717,144,Entire home/apt,1.0,1.0,1.0,Real Bed
710,1266717,99,Entire home/apt,1.0,1.0,1.0,Real Bed
711,1266717,70,Entire home/apt,1.0,1.0,1.0,Real Bed
712,1266717,94,Entire home/apt,1.0,1.0,1.0,Real Bed
713,1266717,99,Entire home/apt,0.0,1.0,1.0,Real Bed
714,1266717,79,Entire home/apt,0.0,2.0,1.0,Real Bed
715,1268116,79,Entire home/apt,2.0,2.0,1.0,Real Bed
716,1271678,44,Private room,1.0,2.0,1.0,Real Bed
717,1273246,139,Entire home/apt,2.0,1.0,1.0,Real Bed
718,1273501,115,Entire home/apt,1.0,1.0,1.0,Real Bed
719,1276440,150,Entire home/apt,2.0,2.0,1.0,Real Bed
720,1280289,100,Entire home/apt,1.0,1.0,1.0,Real Bed
721,1285188,75,Entire home/apt,1.0,1.0,1.0,Real Bed
722,1287601,90,Entire home/apt,1.0,1.0,1.0,Real Bed
723,1292888,200,Entire home/apt,2.0,1.0,1.0,Real Bed
724,1294098,230,Entire home/apt,2.0,4.0,2.0,Real Bed
725,1294098,204,Entire home/apt,2.0,4.0,1.0,Real Bed
726,1294098,144,Entire home/apt,1.0,2.0,1.0,Real Bed
727,1298735,99,Entire home/apt,1.0,1.0,1.0,Real Bed
728,1301956,48,Private room,1.0,3.0,1.0,Real Bed
729,1301956,48,Private room,1.0,1.0,1.0,Real Bed
730,1303153,225,Entire home/apt,4.0,6.0,1.5,Real Bed
731,1305208,55,Private room,1.0,1.0,0.5,Real Bed
732,1305559,65,Private room,1.0,2.0,1.0,Real Bed
733,1305559,50,Private room,1.0,2.0,1.0,Real Bed
734,1305699,92,Entire home/apt,1.0,1.0,1.0,Real Bed
735,1311217,49,Private room,1.0,1.0,1.0,Real Bed
736,1313610,84,Private room,1.0,1.0,1.5,Real Bed
737,1313610,78,Private room,1.0,1.0,1.5,Real Bed
738,1314459,100,Entire home/apt,2.0,4.0,,Real Bed
739,1314658,70,Entire home/apt,1.0,1.0,1.0,Real Bed
740,1316932,185,Entire home/apt,1.0,1.0,1.0,Real Bed
741,1317004,85,Entire home/apt,1.0,1.0,1.0,Real Bed
742,1319932,275,Entire home/apt,2.0,5.0,1.0,Real Bed
743,1322517,125,Entire home/apt,2.0,2.0,1.0,Real Bed
744,1324659,100,Entire home/apt,2.0,2.0,1.0,Real Bed
745,1325019,90,Entire home/apt,1.0,1.0,1.0,Real Bed
746,1325697,250,Entire home/apt,2.0,2.0,2.5,Real Bed
747,1326878,80,Entire home/apt,1.0,1.0,1.0,Real Bed
748,1329090,240,Entire home/apt,1.0,1.0,1.0,Real Bed
749,1329090,145,Entire home/apt,1.0,1.0,1.0,Real Bed
750,1334704,145,Private room,1.0,1.0,1.0,Real Bed
751,1336633,110,Entire home/apt,1.0,1.0,1.0,Futon
752,1337537,130,Entire home/apt,1.0,1.0,1.0,Real Bed
753,1339574,100,Private room,1.0,3.0,1.0,Real Bed
754,1340998,128,Private room,1.0,1.0,3.5,Real Bed
755,1340998,148,Private room,1.0,1.0,1.0,Real Bed
756,1343018,80,Private room,1.0,1.0,1.0,Pull-out Sofa
757,1344474,60,Private room,1.0,2.0,1.0,Real Bed
758,1344474,40,Private room,1.0,1.0,1.0,Real Bed
759,1344947,116,Private room,1.0,1.0,1.0,Real Bed
760,1345370,145,Entire home/apt,2.0,2.0,1.0,Real Bed
761,1345370,100,Entire home/apt,2.0,2.0,1.0,Real Bed
762,1345370,85,Private room,1.0,2.0,1.0,Real Bed
763,1345947,189,Entire home/apt,2.0,2.0,1.0,Real Bed
764,1347048,210,Entire home/apt,3.0,4.0,2.5,Real Bed
765,1347783,220,Entire home/apt,2.0,3.0,1.5,Real Bed
766,1348274,68,Entire home/apt,1.0,1.0,1.0,Real Bed
767,1351450,55,Entire home/apt,1.0,1.0,1.0,Real Bed
768,1351578,399,Entire home/apt,1.0,1.0,1.5,Real Bed
769,1352571,69,Entire home/apt,1.0,1.0,1.0,Real Bed
770,1357419,280,Entire home/apt,1.0,8.0,1.0,Real Bed
771,1358222,90,Entire home/apt,1.0,1.0,1.5,Real Bed
772,1359728,99,Entire home/apt,1.0,1.0,1.0,Real Bed
773,1362934,275,Entire home/apt,2.0,4.0,1.0,Real Bed
774,1365416,92,Entire home/apt,1.0,1.0,1.0,Real Bed
775,1365869,195,Entire home/apt,2.0,2.0,1.0,Real Bed
776,1372632,120,Entire home/apt,1.0,1.0,1.0,Real Bed
777,1376607,79,Entire home/apt,1.0,1.0,1.0,Real Bed
778,1376907,109,Entire home/apt,2.0,4.0,1.0,Real Bed
779,1382273,105,Private room,1.0,1.0,1.0,Real Bed
780,1383927,225,Entire home/apt,3.0,4.0,1.0,Real Bed
781,1384796,125,Entire home/apt,1.0,2.0,1.0,Real Bed
782,1385784,280,Entire home/apt,2.0,2.0,1.0,Real Bed
783,1387938,69,Entire home/apt,1.0,1.0,1.0,Real Bed
784,1387938,98,Entire home/apt,0.0,2.0,1.0,Real Bed
785,1400952,175,Entire home/apt,1.0,1.0,1.0,Real Bed
786,1401348,46,Private room,1.0,2.0,0.5,Real Bed
787,1406783,87,Entire home/apt,1.0,1.0,1.5,Real Bed
788,1408706,99,Private room,1.0,1.0,1.5,Real Bed
789,1411711,50,Entire home/apt,1.0,1.0,1.0,Real Bed
790,1415976,120,Entire home/apt,1.0,1.0,1.0,Real Bed
791,1416034,110,Private room,1.0,2.0,8.0,Real Bed
792,1416507,60,Entire home/apt,0.0,1.0,1.0,Futon
793,1416536,700,Entire home/apt,9.0,16.0,7.5,Real Bed
794,1417625,90,Entire home/apt,1.0,1.0,1.0,Real Bed
795,1417625,65,Private room,1.0,1.0,1.0,Real Bed
796,1421327,60,Private room,1.0,1.0,1.0,Real Bed
797,1421327,60,Private room,1.0,1.0,,Real Bed
798,1422043,135,Entire home/apt,2.0,2.0,1.0,Real Bed
799,1428095,100,Entire home/apt,0.0,1.0,1.0,Pull-out Sofa
800,1428376,120,Entire home/apt,1.0,1.0,0.5,Real Bed
801,1435514,200,Entire home/apt,2.0,2.0,1.0,Real Bed
802,1435990,79,Entire home/apt,1.0,1.0,1.0,Real Bed
803,1436134,150,Entire home/apt,2.0,2.0,1.0,Real Bed
804,1436773,153,Entire home/apt,1.0,1.0,1.0,Real Bed
805,1438959,100,Entire home/apt,1.0,,,Real Bed
806,1439356,85,Entire home/apt,1.0,2.0,1.0,Real Bed
807,1439356,80,Entire home/apt,1.0,2.0,1.0,Real Bed
808,1439626,125,Entire home/apt,1.0,1.0,1.0,Real Bed
809,1441239,210,Entire home/apt,2.0,3.0,2.0,Real Bed
810,1441239,210,Entire home/apt,2.0,2.0,2.0,Real Bed
811,1442073,102,Entire home/apt,2.0,3.0,1.0,Real Bed
812,1443609,85,Entire home/apt,1.0,1.0,1.0,Real Bed
813,1443641,159,Entire home/apt,1.0,1.0,1.0,Real Bed
814,1446675,95,Entire home/apt,1.0,1.0,1.0,Real Bed
815,1446698,70,Entire home/apt,1.0,1.0,1.0,Real Bed
816,1448980,89,Entire home/apt,1.0,1.0,1.0,Real Bed
817,1450069,125,Private room,1.0,1.0,1.0,Real Bed
818,1451657,250,Entire home/apt,5.0,14.0,1.5,Real Bed
819,1454274,85,Entire home/apt,1.0,1.0,1.0,Real Bed
